Description	Resource	Path	Location	Type
Cliente.ClienteBuilder cannot be resolved to a type	ClienteMapperImpl.java	/Pos-24/target/generated-sources/annotations/com/pos24/mapper	line 22	Java Problem
ClienteDTO.ClienteDTOBuilder cannot be resolved to a type	ClienteMapperImpl.java	/Pos-24/target/generated-sources/annotations/com/pos24/mapper	line 40	Java Problem
FollowUp.FollowUpBuilder cannot be resolved to a type	FollowUpMapperImpl.java	/Pos-24/target/generated-sources/annotations/com/pos24/mapper	line 23	Java Problem
FollowUpDTO.FollowUpDTOBuilder cannot be resolved to a type	FollowUpMapperImpl.java	/Pos-24/target/generated-sources/annotations/com/pos24/mapper	line 42	Java Problem
No implementation was created for ClienteMapper due to having a problem in the erroneous element java.util.ArrayList. Hint: this often means that some other annotation processor was supposed to process the erroneous element. You can also enable MapStruct verbose mode by setting -Amapstruct.verbose=true as a compilation argument.	ClienteMapper.java	/Pos-24/src/main/java/com/pos24/mapper	line 10	Annotation Problem (Java 6 processor)
No implementation was created for FollowUpMapper due to having a problem in the erroneous element java.util.ArrayList. Hint: this often means that some other annotation processor was supposed to process the erroneous element. You can also enable MapStruct verbose mode by setting -Amapstruct.verbose=true as a compilation argument.	FollowUpMapper.java	/Pos-24/src/main/java/com/pos24/mapper	line 13	Annotation Problem (Java 6 processor)
No implementation was created for UsuarioMapper due to having a problem in the erroneous element java.util.ArrayList. Hint: this often means that some other annotation processor was supposed to process the erroneous element. You can also enable MapStruct verbose mode by setting -Amapstruct.verbose=true as a compilation argument.	UsuarioMapper.java	/Pos-24/src/main/java/com/pos24/mapper	line 10	Annotation Problem (Java 6 processor)
The constructor BaseServiceImpl<ChamadoDTO,Chamado>(ChamadoRepository, ChamadoMapper) is undefined	ChamadoServiceImpl.java	/Pos-24/src/main/java/com/pos24/service/impl	line 26	Java Problem
The method builder() is undefined for the type Chamado	ChamadoMapper.java	/Pos-24/src/main/java/com/pos24/mapper	line 17	Java Problem
The method builder() is undefined for the type ChamadoDTO	ChamadoMapper.java	/Pos-24/src/main/java/com/pos24/mapper	line 39	Java Problem
The method builder() is undefined for the type Cliente	ChamadoMapper.java	/Pos-24/src/main/java/com/pos24/mapper	line 25	Java Problem
The method builder() is undefined for the type Cliente	ChamadoMapper.java	/Pos-24/src/main/java/com/pos24/mapper	line 75	Java Problem
The method builder() is undefined for the type Cliente	ClienteMapperImpl.java	/Pos-24/target/generated-sources/annotations/com/pos24/mapper	line 22	Java Problem
The method builder() is undefined for the type ClienteDTO	ClienteMapperImpl.java	/Pos-24/target/generated-sources/annotations/com/pos24/mapper	line 40	Java Problem
The method builder() is undefined for the type FollowUp	FollowUpMapperImpl.java	/Pos-24/target/generated-sources/annotations/com/pos24/mapper	line 23	Java Problem
The method builder() is undefined for the type FollowUpDTO	FollowUpMapperImpl.java	/Pos-24/target/generated-sources/annotations/com/pos24/mapper	line 42	Java Problem
The method builder() is undefined for the type Usuario	UsuarioMapperImpl.java	/Pos-24/target/generated-sources/annotations/com/pos24/mapper	line 24	Java Problem
The method builder() is undefined for the type UsuarioDTO	UsuarioMapperImpl.java	/Pos-24/target/generated-sources/annotations/com/pos24/mapper	line 48	Java Problem
The method getChamado() is undefined for the type FollowUp	FollowUpMapperImpl.java	/Pos-24/target/generated-sources/annotations/com/pos24/mapper	line 74	Java Problem
The method getChamado() is undefined for the type FollowUp	FollowUpServiceImpl.java	/Pos-24/src/main/java/com/pos24/service/impl	line 65	Java Problem
The method getChamado() is undefined for the type FollowUp	FollowUpServiceImpl.java	/Pos-24/src/main/java/com/pos24/service/impl	line 67	Java Problem
The method getChamadoId() is undefined for the type FollowUpDTO	FollowUpMapperImpl.java	/Pos-24/target/generated-sources/annotations/com/pos24/mapper	line 25	Java Problem
The method getChamadoId() is undefined for the type FollowUpDTO	FollowUpMapperImpl.java	/Pos-24/target/generated-sources/annotations/com/pos24/mapper	line 61	Java Problem
The method getChamadoId() is undefined for the type FollowUpDTO	FollowUpServiceImpl.java	/Pos-24/src/main/java/com/pos24/service/impl	line 79	Java Problem
The method getCliente() is undefined for the type Chamado	ChamadoMapper.java	/Pos-24/src/main/java/com/pos24/mapper	line 49	Java Problem
The method getCliente() is undefined for the type Chamado	ChamadoMapper.java	/Pos-24/src/main/java/com/pos24/mapper	line 50	Java Problem
The method getCliente() is undefined for the type Chamado	ChamadoMapper.java	/Pos-24/src/main/java/com/pos24/mapper	line 51	Java Problem
The method getClienteId() is undefined for the type ChamadoDTO	ChamadoMapper.java	/Pos-24/src/main/java/com/pos24/mapper	line 24	Java Problem
The method getClienteId() is undefined for the type ChamadoDTO	ChamadoMapper.java	/Pos-24/src/main/java/com/pos24/mapper	line 26	Java Problem
The method getClienteId() is undefined for the type ChamadoDTO	ChamadoMapper.java	/Pos-24/src/main/java/com/pos24/mapper	line 74	Java Problem
The method getClienteId() is undefined for the type ChamadoDTO	ChamadoMapper.java	/Pos-24/src/main/java/com/pos24/mapper	line 76	Java Problem
The method getClienteId() is undefined for the type ChamadoDTO	ChamadoServiceImpl.java	/Pos-24/src/main/java/com/pos24/service/impl	line 75	Java Problem
The method getCreatedAt() is undefined for the type Chamado	ChamadoMapper.java	/Pos-24/src/main/java/com/pos24/mapper	line 45	Java Problem
The method getCreatedAt() is undefined for the type Cliente	ClienteMapperImpl.java	/Pos-24/target/generated-sources/annotations/com/pos24/mapper	line 42	Java Problem
